#stn,X,Y,Z,ReceiverName,AntennaName,ClockType
CNMR00USA,-5087757.903,3465028.863,1664653.693,TRIMBLE NETR9,TRM55971.00,INTERNAL
COCO00AUS,-741949.8528,6190961.6634,-1337768.7328,SEPT POLARX5,AOAD/M_T,INTERNAL
CORD00ARG,2345503.9452,-4910842.9601,-3316365.5474,JAVAD TRE_G3TH DELTA,TPSCR.G3,INTERNAL
COSO00USA,-2411148.2861,-4571430.2322,3727461.4502,SEPT POLARX5,TWIVC6150,INTERNAL
COTE00ATA,-1285757.4165,417822.4915,-6214230.8473,TRIMBLE NETR9,TRM59800.00,INTERNAL
COYQ00CHL,1391587.0,-4255574.0,-4527926.0,TRIMBLE NETR9,ASH700936D_M,INTERNAL
CPNM00THA,-1020874.496,6183763.086,1179096.215,TRIMBLE NETR9,JAVRINGANT_DM,INTERNAL
CPVG00CPV,5626883.4267,-2380932.5096,1824483.8747,TRIMBLE NETR9,TRM59800.00,INTERNAL
CRAO00UKR,3783897.0146,2551404.4833,4441264.31,ASHTECH UZ-12,ASH701945C_M,INTERNAL
CRFP00USA,-2410446.7968,-4710490.3879,3550422.4952,TRIMBLE NETR9,TRM57971.00,INTERNAL
CRO100VIR,2607771.494,-5488076.997,1932768.0602,JAVAD TRE_3 DELTA,JAVRINGANT_DM,INTERNAL 
CUSV00THA,-1132913.7678,6092530.5657,1504633.5192,JAVAD TRE_3 DELTA,JAVRINGANT_DM,INTERNAL
CUT000AUS,-2364337.2699,4870285.5624,-3360809.8398,TRIMBLE NETR9,TRM59800.00,INTERNAL
CUUT00THA,-1132915.824,6092526.351,1504641.505,TRIMBLE NETR9,TRM57971.00,INTERNAL
CZTG00ATF,2719994.82,3463392.63,-4598612.94,TRIMBLE NETR9,LEIAR20,INTERNAL
DAE200KOR,-3120042.274,4084614.722,3764026.818,TRIMBLE NETR9,TRM59800.00,EXTERNAL CESIUM
DAEJ00KOR,-3120041.821,4084615.221,3764027.013,TRIMBLE NETR9,TRM59800.00,EXTERNAL CESIUM
DAKR00SEN,5886533.48,-1849181.6,1610300.44,TPS NET-G3A,TPSCR.G3,INTERNAL
DARW00AUS,-4091358.744,4684606.844,-1408580.642,SEPT POLARX5,JAVRINGANT_DM,INTERNAL
